year,indicator,LifeZone,"Modified Decay, Turnover and Spinup parameters"
2050,Deadwood,Tropical Dry,18.24708342970323
2050,Deadwood,Tropical Moist,33.82521943318621
2050,Deadwood,Tropical Premontane Wet,40.541972633930435
2050,Litter,Tropical Dry,16.253000930940907
2050,Litter,Tropical Moist,30.19977007930045
2050,Litter,Tropical Premontane Wet,40.03861323679315
2050,Soil Carbon,Tropical Dry,39.396283986108934
2050,Soil Carbon,Tropical Moist,91.55170034704665
2050,Soil Carbon,Tropical Premontane Wet,100.69023760924152
2050,Total Biomass,Tropical Dry,114.6511550024246
2050,Total Biomass,Tropical Moist,210.2608196332755
2050,Total Biomass,Tropical Premontane Wet,225.54585262588043
