year,indicator,LifeZone,"Modified Decay, Turnover and Spinup parameters"
1900,Deadwood,Tropical Dry,8.318328871999485
1900,Deadwood,Tropical Moist,33.94452415102947
1900,Deadwood,Tropical Premontane Wet,37.11300803959786
1900,Litter,Tropical Dry,1.8225960781471835
1900,Litter,Tropical Moist,8.738307727146728
1900,Litter,Tropical Premontane Wet,10.765682941484798
1900,Soil Carbon,Tropical Dry,16.048012720731155
1900,Soil Carbon,Tropical Moist,68.47178112254127
1900,Soil Carbon,Tropical Premontane Wet,72.2347076840215
1900,Total Biomass,Tropical Dry,8.566727451300537
1900,Total Biomass,Tropical Moist,37.80041566268446
1900,Total Biomass,Tropical Premontane Wet,37.8490769263396
