year,indicator,LifeZone,"Modified Decay, Turnover and Spinup parameters"
1920,Deadwood,Tropical Dry,6.721010835317833
1920,Deadwood,Tropical Moist,19.521320486095174
1920,Deadwood,Tropical Premontane Wet,22.16320835577867
1920,Litter,Tropical Dry,5.527094249029994
1920,Litter,Tropical Moist,13.855012781167556
1920,Litter,Tropical Premontane Wet,16.544277814274412
1920,Soil Carbon,Tropical Dry,17.247806437392253
1920,Soil Carbon,Tropical Moist,68.71608970307246
1920,Soil Carbon,Tropical Premontane Wet,72.55272611768031
1920,Total Biomass,Tropical Dry,72.71846212866802
1920,Total Biomass,Tropical Moist,124.74641190968471
1920,Total Biomass,Tropical Premontane Wet,126.5549901411687
