year,indicator,LifeZone,pool_tc_sum,area_sum,pool_tc_per_ha,run
1918,Litter,Tropical Premontane Wet,6578489.737584887,417245.7651077393,15.766462568856078,"Modified Decay, Turnover and Spinup parameters"
1918,Soil Carbon,Tropical Dry,19456053.870073166,1142790.382296882,17.025041662468887,"Modified Decay, Turnover and Spinup parameters"
1918,Soil Carbon,Tropical Moist,41759757.59728128,608498.4096054054,68.62755421885382,"Modified Decay, Turnover and Spinup parameters"
1918,Soil Carbon,Tropical Premontane Wet,30228477.761952076,417245.7651077393,72.44765624918114,"Modified Decay, Turnover and Spinup parameters"
1918,Total Biomass,Tropical Dry,73794508.54451689,1142790.382296882,64.57396709639619,"Modified Decay, Turnover and Spinup parameters"
1918,Total Biomass,Tropical Moist,72116197.15789378,608498.4096054054,118.51501338295881,"Modified Decay, Turnover and Spinup parameters"
1918,Total Biomass,Tropical Premontane Wet,50064855.68016549,417245.7651077393,119.98888872422222,"Modified Decay, Turnover and Spinup parameters"
1919,Deadwood,Tropical Dry,7319864.7714391695,1142790.382296882,6.405255841169272,"Modified Decay, Turnover and Spinup parameters"
1919,Deadwood,Tropical Moist,11854993.624758147,608498.4096054054,19.482374049992647,"Modified Decay, Turnover and Spinup parameters"
1919,Deadwood,Tropical Premontane Wet,9231114.095229752,417245.7651077393,22.12392519513322,"Modified Decay, Turnover and Spinup parameters"
1919,Litter,Tropical Dry,5898691.636369245,1142790.382296882,5.161656702529757,"Modified Decay, Turnover and Spinup parameters"
1919,Litter,Tropical Moist,8228586.443092634,608498.4096054054,13.522773951748942,"Modified Decay, Turnover and Spinup parameters"
1919,Litter,Tropical Premontane Wet,6739675.260576483,417245.7651077393,16.152770918684325,"Modified Decay, Turnover and Spinup parameters"
1919,Soil Carbon,Tropical Dry,19580463.981019866,1142790.382296882,17.133906868961656,"Modified Decay, Turnover and Spinup parameters"
1919,Soil Carbon,Tropical Moist,41785019.61790728,608498.4096054054,68.6690695625708,"Modified Decay, Turnover and Spinup parameters"
1919,Soil Carbon,Tropical Premontane Wet,30249129.954839163,417245.7651077393,72.49715272012017,"Modified Decay, Turnover and Spinup parameters"
1919,Total Biomass,Tropical Dry,78584007.82429552,1142790.382296882,68.76502378883376,"Modified Decay, Turnover and Spinup parameters"
1919,Total Biomass,Tropical Moist,74045080.49600025,608498.4096054054,121.68492033367262,"Modified Decay, Turnover and Spinup parameters"
1919,Total Biomass,Tropical Premontane Wet,51456336.33965714,417245.7651077393,123.32380731622362,"Modified Decay, Turnover and Spinup parameters"
1920,Deadwood,Tropical Dry,7680706.541914354,1142790.382296882,6.721010835317833,"Modified Decay, Turnover and Spinup parameters"
1920,Deadwood,Tropical Moist,11878692.469186334,608498.4096054054,19.521320486095174,"Modified Decay, Turnover and Spinup parameters"
1920,Deadwood,Tropical Premontane Wet,9247504.827649113,417245.7651077393,22.16320835577867,"Modified Decay, Turnover and Spinup parameters"
1920,Litter,Tropical Dry,6316310.1498398855,1142790.382296882,5.527094249029994,"Modified Decay, Turnover and Spinup parameters"
1920,Litter,Tropical Moist,8430753.242403023,608498.4096054054,13.855012781167556,"Modified Decay, Turnover and Spinup parameters"
1920,Litter,Tropical Premontane Wet,6903029.854771924,417245.7651077393,16.544277814274412,"Modified Decay, Turnover and Spinup parameters"
1920,Soil Carbon,Tropical Dry,19710627.312370118,1142790.382296882,17.247806437392253,"Modified Decay, Turnover and Spinup parameters"
1920,Soil Carbon,Tropical Moist,41813631.29862197,608498.4096054054,68.71608970307246,"Modified Decay, Turnover and Spinup parameters"
1920,Soil Carbon,Tropical Premontane Wet,30272317.71962378,417245.7651077393,72.55272611768031,"Modified Decay, Turnover and Spinup parameters"
1920,Total Biomass,Tropical Dry,83101959.13606188,1142790.382296882,72.71846212866802,"Modified Decay, Turnover and Spinup parameters"
1920,Total Biomass,Tropical Moist,75907993.25102395,608498.4096054054,124.74641190968471,"Modified Decay, Turnover and Spinup parameters"
1920,Total Biomass,Tropical Premontane Wet,52804533.68965434,417245.7651077393,126.5549901411687,"Modified Decay, Turnover and Spinup parameters"
1921,Deadwood,Tropical Dry,8060944.597677298,1142790.382296882,7.053738570564176,"Modified Decay, Turnover and Spinup parameters"
1921,Deadwood,Tropical Moist,11918416.366063768,608498.4096054054,19.586602327839337,"Modified Decay, Turnover and Spinup parameters"
1921,Deadwood,Tropical Premontane Wet,9276123.295039058,417245.7651077393,22.231797350043372,"Modified Decay, Turnover and Spinup parameters"
1921,Litter,Tropical Dry,6741237.546897727,1142790.382296882,5.898927442273872,"Modified Decay, Turnover and Spinup parameters"
1921,Litter,Tropical Moist,8634018.866541937,608498.4096054054,14.189057407957504,"Modified Decay, Turnover and Spinup parameters"
1921,Litter,Tropical Premontane Wet,7068196.47677745,417245.7651077393,16.940127540784825,"Modified Decay, Turnover and Spinup parameters"
1921,Soil Carbon,Tropical Dry,19846485.33849478,1142790.382296882,17.366689154843552,"Modified Decay, Turnover and Spinup parameters"
1921,Soil Carbon,Tropical Moist,41845541.33681337,608498.4096054054,68.7685303301763,"Modified Decay, Turnover and Spinup parameters"
1921,Soil Carbon,Tropical Premontane Wet,30298013.83413956,417245.7651077393,72.6143111993387,"Modified Decay, Turnover and Spinup parameters"
1921,Total Biomass,Tropical Dry,87336413.05618477,1142790.382296882,76.42382575940852,"Modified Decay, Turnover and Spinup parameters"
1921,Total Biomass,Tropical Moist,77707191.69268578,608498.4096054054,127.70319604134508,"Modified Decay, Turnover and Spinup parameters"
1921,Total Biomass,Tropical Premontane Wet,54110794.08880734,417245.7651077393,129.68566397512768,"Modified Decay, Turnover and Spinup parameters"
1922,Deadwood,Tropical Dry,8456532.215947546,1142790.382296882,7.399897957620936,"Modified Decay, Turnover and Spinup parameters"
1922,Deadwood,Tropical Moist,11972621.26059886,608498.4096054054,19.675682091532135,"Modified Decay, Turnover and Spinup parameters"
1922,Deadwood,Tropical Premontane Wet,9315897.214529064,417245.7651077393,22.327122270788188,"Modified Decay, Turnover and Spinup parameters"
1922,Litter,Tropical Dry,7170727.81776861,1142790.382296882,6.274753383342483,"Modified Decay, Turnover and Spinup parameters"
1922,Litter,Tropical Moist,8837944.23534009,608498.4096054054,14.524186252304679,"Modified Decay, Turnover and Spinup parameters"
1922,Litter,Tropical Premontane Wet,7234838.545602969,417245.7651077393,17.339513424983046,"Modified Decay, Turnover and Spinup parameters"
1922,Soil Carbon,Tropical Dry,19987932.77999102,1142790.382296882,17.490462896456556,"Modified Decay, Turnover and Spinup parameters"
1922,Soil Carbon,Tropical Moist,41880693.89902021,608498.4096054054,68.82629968774889,"Modified Decay, Turnover and Spinup parameters"
1922,Soil Carbon,Tropical Premontane Wet,30326186.79474101,417245.7651077393,72.6818324612841,"Modified Decay, Turnover and Spinup parameters"
1922,Total Biomass,Tropical Dry,91282929.03135031,1142790.382296882,79.87722896991987,"Modified Decay, Turnover and Spinup parameters"
1922,Total Biomass,Tropical Moist,79444854.94289571,608498.4096054054,130.55885387508823,"Modified Decay, Turnover and Spinup parameters"
1922,Total Biomass,Tropical Premontane Wet,55376422.02439441,417245.7651077393,132.71895524235066,"Modified Decay, Turnover and Spinup parameters"
1923,Deadwood,Tropical Dry,8863704.771114869,1142790.382296882,7.756194756644525,"Modified Decay, Turnover and Spinup parameters"
1923,Deadwood,Tropical Moist,12039881.425714344,608498.4096054054,19.78621675202385,"Modified Decay, Turnover and Spinup parameters"
1923,Deadwood,Tropical Premontane Wet,9365833.343891677,417245.7651077393,22.446802645134753,"Modified Decay, Turnover and Spinup parameters"
1923,Litter,Tropical Dry,7602227.766208066,1142790.382296882,6.652337895011358,"Modified Decay, Turnover and Spinup parameters"
1923,Litter,Tropical Moist,9042123.048553241,608498.4096054054,14.859731604585148,"Modified Decay, Turnover and Spinup parameters"
1923,Litter,Tropical Premontane Wet,7402639.311254165,417245.7651077393,17.741676321969834,"Modified Decay, Turnover and Spinup parameters"
1923,Soil Carbon,Tropical Dry,20134822.776769638,1142790.382296882,17.618999152146234,"Modified Decay, Turnover and Spinup parameters"
1923,Soil Carbon,Tropical Moist,41919029.48415836,608498.4096054054,68.88929999232325,"Modified Decay, Turnover and Spinup parameters"
1923,Soil Carbon,Tropical Premontane Wet,30356801.73553839,417245.7651077393,72.75520634151863,"Modified Decay, Turnover and Spinup parameters"
1923,Total Biomass,Tropical Dry,94943053.72938247,1142790.382296882,83.08002517360835,"Modified Decay, Turnover and Spinup parameters"
1923,Total Biomass,Tropical Moist,81123087.62048785,608498.4096054054,133.31684411976354,"Modified Decay, Turnover and Spinup parameters"
1923,Total Biomass,Tropical Premontane Wet,56602681.42878469,417245.7651077393,135.65789317039324,"Modified Decay, Turnover and Spinup parameters"
1924,Deadwood,Tropical Dry,9279003.522490432,1142790.382296882,8.119602392733357,"Modified Decay, Turnover and Spinup parameters"
1924,Deadwood,Tropical Moist,12118878.230880931,608498.4096054054,19.91603928552532,"Modified Decay, Turnover and Spinup parameters"
1924,Deadwood,Tropical Premontane Wet,9425008.770469187,417245.7651077393,22.588626556905865,"Modified Decay, Turnover and Spinup parameters"
1924,Litter,Tropical Dry,8033395.335281341,1142790.382296882,7.029631557744743,"Modified Decay, Turnover and Spinup parameters"
1924,Litter,Tropical Moist,9246180.177568367,608498.4096054054,15.19507698231169,"Modified Decay, Turnover and Spinup parameters"
1924,Litter,Tropical Premontane Wet,7571301.17885496,417245.7651077393,18.14590299532443,"Modified Decay, Turnover and Spinup parameters"
1924,Soil Carbon,Tropical Dry,20286974.027253013,1142790.382296882,17.752139273764662,"Modified Decay, Turnover and Spinup parameters"
1924,Soil Carbon,Tropical Moist,41960485.622095734,608498.4096054054,68.95742858112968,"Modified Decay, Turnover and Spinup parameters"
1924,Soil Carbon,Tropical Premontane Wet,30389821.117764175,417245.7651077393,72.83434287204102,"Modified Decay, Turnover and Spinup parameters"
1924,Total Biomass,Tropical Dry,98322969.55371517,1142790.382296882,86.03762428950171,"Modified Decay, Turnover and Spinup parameters"
1924,Total Biomass,Tropical Moist,82743922.30963716,608498.4096054054,135.98050710320564,"Modified Decay, Turnover and Spinup parameters"
1924,Total Biomass,Tropical Premontane Wet,57790796.88841973,417245.7651077393,138.50541268764528,"Modified Decay, Turnover and Spinup parameters"
1925,Deadwood,Tropical Dry,9699286.899934806,1142790.382296882,8.487371831429236,"Modified Decay, Turnover and Spinup parameters"
1925,Deadwood,Tropical Moist,12208390.900958668,608498.4096054054,20.06314348278326,"Modified Decay, Turnover and Spinup parameters"
1925,Deadwood,Tropical Premontane Wet,9492564.071610697,417245.7651077393,22.75053425445689,"Modified Decay, Turnover and Spinup parameters"
1925,Litter,Tropical Dry,8462110.61563514,1142790.382296882,7.404779342496071,"Modified Decay, Turnover and Spinup parameters"
1925,Litter,Tropical Moist,9449770.075678304,608498.4096054054,15.52965451759557,"Modified Decay, Turnover and Spinup parameters"
1925,Litter,Tropical Premontane Wet,7740545.004664562,417245.7651077393,18.55152442989046,"Modified Decay, Turnover and Spinup parameters"
1925,Soil Carbon,Tropical Dry,20444178.4068509,1142790.382296882,17.88970114165676,"Modified Decay, Turnover and Spinup parameters"
1925,Soil Carbon,Tropical Moist,42004997.45401014,608498.4096054054,69.03057886584983,"Modified Decay, Turnover and Spinup parameters"
1925,Soil Carbon,Tropical Premontane Wet,30425205.2597694,417245.7651077393,72.91914694907243,"Modified Decay, Turnover and Spinup parameters"
1925,Total Biomass,Tropical Dry,101432326.75057642,1142790.382296882,88.75847077633667,"Modified Decay, Turnover and Spinup parameters"
1925,Total Biomass,Tropical Moist,84309322.10663955,608498.4096054054,138.55306895758667,"Modified Decay, Turnover and Spinup parameters"
1925,Total Biomass,Tropical Premontane Wet,58941954.8931129,417245.7651077393,141.26435741748793,"Modified Decay, Turnover and Spinup parameters"
1926,Deadwood,Tropical Dry,10121731.958460499,1142790.382296882,8.857032851568928,"Modified Decay, Turnover and Spinup parameters"
1926,Deadwood,Tropical Moist,12307288.71364111,608498.4096054054,20.225671126440663,"Modified Decay, Turnover and Spinup parameters"
1926,Deadwood,Tropical Premontane Wet,9567697.81262185,417245.7651077393,22.930604964082313,"Modified Decay, Turnover and Spinup parameters"
1926,Litter,Tropical Dry,8886480.31115445,1142790.382296882,7.77612451838596,"Modified Decay, Turnover and Spinup parameters"
1926,Litter,Tropical Moist,9652575.218461607,608498.4096054054,15.8629423940829,"Modified Decay, Turnover and Spinup parameters"
1926,Litter,Tropical Premontane Wet,7910109.376820074,417245.7651077393,18.957914107954007,"Modified Decay, Turnover and Spinup parameters"
1926,Soil Carbon,Tropical Dry,20606208.223222565,1142790.382296882,18.03148551338555,"Modified Decay, Turnover and Spinup parameters"
1926,Soil Carbon,Tropical Moist,42052498.22400614,608498.4096054054,69.10864114053484,"Modified Decay, Turnover and Spinup parameters"
1926,Soil Carbon,Tropical Premontane Wet,30462912.754692186,417245.7651077393,73.00951933406967,"Modified Decay, Turnover and Spinup parameters"
1926,Total Biomass,Tropical Dry,104283257.63731234,1142790.382296882,91.25318103195316,"Modified Decay, Turnover and Spinup parameters"
1926,Total Biomass,Tropical Moist,85821182.99037006,608498.4096054054,141.03764551500268,"Modified Decay, Turnover and Spinup parameters"
1926,Total Biomass,Tropical Premontane Wet,60057305.05846265,417245.7651077393,143.93748260801382,"Modified Decay, Turnover and Spinup parameters"
1927,Deadwood,Tropical Dry,10543828.327365492,1142790.382296882,9.226388750466699,"Modified Decay, Turnover and Spinup parameters"
1927,Deadwood,Tropical Moist,12414524.257404087,608498.4096054054,20.401900911219418,"Modified Decay, Turnover and Spinup parameters"
1927,Deadwood,Tropical Premontane Wet,9649662.008722441,417245.7651077393,23.12704601383012,"Modified Decay, Turnover and Spinup parameters"
1927,Litter,Tropical Dry,9304836.612559816,1142790.382296882,8.142207667042248,"Modified Decay, Turnover and Spinup parameters"
1927,Litter,Tropical Moist,9854304.58141067,608498.4096054054,16.19446234510443,"Modified Decay, Turnover and Spinup parameters"
1927,Litter,Tropical Premontane Wet,8079749.8896234445,417245.7651077393,19.364486269949627,"Modified Decay, Turnover and Spinup parameters"
