year,indicator,LifeZone,"Modified Decay, Turnover and Spinup parameters"
2040,Deadwood,Tropical Dry,18.243129294061493
2040,Deadwood,Tropical Moist,33.6918972608588
2040,Deadwood,Tropical Premontane Wet,40.31537796969376
2040,Litter,Tropical Dry,16.24928851881999
2040,Litter,Tropical Moist,30.080622254588178
2040,Litter,Tropical Premontane Wet,39.78173813949428
2040,Soil Carbon,Tropical Dry,37.89895586456347
2040,Soil Carbon,Tropical Moist,89.68298555138145
2040,Soil Carbon,Tropical Premontane Wet,98.29806101983925
2040,Total Biomass,Tropical Dry,114.65111057332402
2040,Total Biomass,Tropical Moist,209.87055187547722
2040,Total Biomass,Tropical Premontane Wet,224.93092519614942
