year,indicator,LifeZone,"Modified Decay, Turnover and Spinup parameters"
1950,Deadwood,Tropical Dry,15.486379544154723
1950,Deadwood,Tropical Moist,25.731418399822324
1950,Deadwood,Tropical Premontane Wet,29.427040984420536
1950,Litter,Tropical Dry,13.895270319198781
1950,Litter,Tropical Moist,22.711582380425156
1950,Litter,Tropical Premontane Wet,27.89812693581249
1950,Soil Carbon,Tropical Dry,22.192731370484037
1950,Soil Carbon,Tropical Moist,72.16049267195268
1950,Soil Carbon,Tropical Premontane Wet,76.56683939952534
1950,Total Biomass,Tropical Dry,112.94882232388707
1950,Total Biomass,Tropical Moist,180.76354914495732
1950,Total Biomass,Tropical Premontane Wet,188.19884424243233
