year,indicator,LifeZone,"Modified Decay, Turnover and Spinup parameters"
2010,Deadwood,Tropical Dry,18.191023739279913
2010,Deadwood,Tropical Moist,32.875026124746995
2010,Deadwood,Tropical Premontane Wet,39.02113169543412
2010,Litter,Tropical Dry,16.202813963092943
2010,Litter,Tropical Moist,29.35174583436645
2010,Litter,Tropical Premontane Wet,38.340592010265304
2010,Soil Carbon,Tropical Dry,33.101544156614565
2010,Soil Carbon,Tropical Moist,83.81171572873953
2010,Soil Carbon,Tropical Premontane Wet,90.84533095704884
2010,Total Biomass,Tropical Dry,114.64922925849828
2010,Total Biomass,Tropical Moist,207.42649903578038
2010,Total Biomass,Tropical Premontane Wet,221.34371953344584
