year,indicator,LifeZone,"Modified Decay, Turnover and Spinup parameters"
1960,Deadwood,Tropical Dry,16.731115449620248
1960,Deadwood,Tropical Moist,27.788976582932566
1960,Deadwood,Tropical Premontane Wet,32.02366222364561
1960,Litter,Tropical Dry,14.965717876786641
1960,Litter,Tropical Moist,24.714661551033664
1960,Litter,Tropical Premontane Wet,30.781867777111877
1960,Soil Carbon,Tropical Dry,24.087904378663605
1960,Soil Carbon,Tropical Moist,73.89353096967788
1960,Soil Carbon,Tropical Premontane Wet,78.62704749619677
1960,Total Biomass,Tropical Dry,114.09883242433105
1960,Total Biomass,Tropical Moist,189.70839771141414
1960,Total Biomass,Tropical Premontane Wet,198.76598185989278
