year,indicator,LifeZone,"Modified Decay, Turnover and Spinup parameters"
2000,Deadwood,Tropical Dry,18.134453832180743
2000,Deadwood,Tropical Moist,32.36610867539159
2000,Deadwood,Tropical Premontane Wet,38.259663310166054
2000,Litter,Tropical Dry,16.153823595205694
2000,Litter,Tropical Moist,28.897483814275443
2000,Litter,Tropical Premontane Wet,37.507012397069225
2000,Soil Carbon,Tropical Dry,31.396893106159343
2000,Soil Carbon,Tropical Moist,81.79127178752604
2000,Soil Carbon,Tropical Premontane Wet,88.31037276602176
2000,Total Biomass,Tropical Dry,114.64514921834328
2000,Total Biomass,Tropical Moist,205.85649563062358
2000,Total Biomass,Tropical Premontane Wet,219.1671523156551
