year,indicator,LifeZone,"Modified Decay, Turnover and Spinup parameters"
2030,Deadwood,Tropical Dry,18.235394757220018
2030,Deadwood,Tropical Moist,33.50446930156999
2030,Deadwood,Tropical Premontane Wet,40.006772191710844
2030,Litter,Tropical Dry,16.24218543077779
2030,Litter,Tropical Moist,29.91327003024787
2030,Litter,Tropical Premontane Wet,39.43448271844434
2030,Soil Carbon,Tropical Dry,36.35161846940439
2030,Soil Carbon,Tropical Moist,87.76659549778124
2030,Soil Carbon,Tropical Premontane Wet,95.85368546554183
2030,Total Biomass,Tropical Dry,114.65097303628201
2030,Total Biomass,Tropical Moist,209.31784208811985
2030,Total Biomass,Tropical Premontane Wet,224.08747215107354
