year,indicator,LifeZone,"Modified Decay, Turnover and Spinup parameters"
1910,Deadwood,Tropical Dry,4.958506711099409
1910,Deadwood,Tropical Moist,20.880897564204655
1910,Deadwood,Tropical Premontane Wet,23.66705069444527
1910,Litter,Tropical Dry,2.5972482156895205
1910,Litter,Tropical Moist,10.762793339362474
1910,Litter,Tropical Premontane Wet,12.982738477914287
1910,Soil Carbon,Tropical Dry,16.336570970400906
1910,Soil Carbon,Tropical Moist,68.49884771309083
1910,Soil Carbon,Tropical Premontane Wet,72.27074757529826
1910,Total Biomass,Tropical Dry,26.99923430237686
1910,Total Biomass,Tropical Moist,88.76228983203298
1910,Total Biomass,Tropical Premontane Wet,89.1520631636839
