year,indicator,LifeZone,"Modified Decay, Turnover and Spinup parameters"
1990,Deadwood,Tropical Dry,18.025996230130573
1990,Deadwood,Tropical Moist,31.66575969570724
1990,Deadwood,Tropical Premontane Wet,37.24516621204201
1990,Litter,Tropical Dry,16.061210811092092
1990,Litter,Tropical Moist,28.270770393302815
1990,Litter,Tropical Premontane Wet,36.40681848913719
1990,Soil Carbon,Tropical Dry,29.639109998874154
1990,Soil Carbon,Tropical Moist,79.76165007751688
1990,Soil Carbon,Tropical Premontane Wet,85.78396451198003
1990,Total Biomass,Tropical Dry,114.63251960276935
1990,Total Biomass,Tropical Moist,203.6330061642332
1990,Total Biomass,Tropical Premontane Wet,216.18170687500188
