year,indicator,LifeZone,"Modified Decay, Turnover and Spinup parameters"
1930,Deadwood,Tropical Dry,10.314525753971317
1930,Deadwood,Tropical Moist,20.997445640065994
1930,Deadwood,Tropical Premontane Wet,23.798401411923287
1930,Litter,Tropical Dry,9.197124827091235
1930,Litter,Tropical Moist,17.17423476310205
1930,Litter,Tropical Premontane Wet,20.580015091687816
1930,Soil Carbon,Tropical Dry,18.63655789215572
1930,Soil Carbon,Tropical Moist,69.4677432703901
1930,Soil Carbon,Tropical Premontane Wet,73.42460393224263
1930,Total Biomass,Tropical Dry,99.22275866533859
1930,Total Biomass,Tropical Moist,150.15476006112235
1930,Total Biomass,Tropical Premontane Wet,153.82394748283
