year,indicator,LifeZone,"Modified Decay, Turnover and Spinup parameters"
2020,Deadwood,Tropical Dry,18.22031275894714
2020,Deadwood,Tropical Moist,33.24175233036874
2020,Deadwood,Tropical Premontane Wet,39.587726865364964
2020,Litter,Tropical Dry,16.2286268499312
2020,Litter,Tropical Moist,29.67886351170664
2020,Litter,Tropical Premontane Wet,38.96692479956784
2020,Soil Carbon,Tropical Dry,34.75287588616365
2020,Soil Carbon,Tropical Moist,85.80710616210081
2020,Soil Carbon,Tropical Premontane Wet,93.36542713764379
2020,Total Biomass,Tropical Dry,114.65054728960374
2020,Total Biomass,Tropical Moist,208.5350766502408
2020,Total Biomass,Tropical Premontane Wet,222.93056642894467
