year,indicator,LifeZone,"Modified Decay, Turnover and Spinup parameters"
1980,Deadwood,Tropical Dry,17.82017835325214
1980,Deadwood,Tropical Moist,30.713574077486253
1980,Deadwood,Tropical Premontane Wet,35.91051985962262
1980,Litter,Tropical Dry,15.88709392117278
1980,Litter,Tropical Moist,27.413670722027305
1980,Litter,Tropical Premontane Wet,34.970235943589735
1980,Soil Carbon,Tropical Dry,27.830190320578716
1980,Soil Carbon,Tropical Moist,77.74556854704149
1980,Soil Carbon,Tropical Premontane Wet,83.29778274181622
1980,Total Biomass,Tropical Dry,114.59343030108036
1980,Total Biomass,Tropical Moist,200.48402870009497
1980,Total Biomass,Tropical Premontane Wet,212.08677959111694
