year,indicator,LifeZone,"Modified Decay, Turnover and Spinup parameters"
1970,Deadwood,Tropical Dry,17.435291895874474
1970,Deadwood,Tropical Moist,29.44190044705884
1970,Deadwood,Tropical Premontane Wet,34.18710005104021
1970,Litter,Tropical Dry,15.56249018606967
1970,Litter,Tropical Moist,26.25525050019441
1970,Litter,Tropical Premontane Wet,33.12039841077997
1970,Soil Carbon,Tropical Dry,25.97565734227525
1970,Soil Carbon,Tropical Moist,75.77490566368603
1970,Soil Carbon,Tropical Premontane Wet,80.89389321495813
1970,Total Biomass,Tropical Dry,114.4724968020909
1970,Total Biomass,Tropical Moist,196.02434523397258
1970,Total Biomass,Tropical Premontane Wet,206.47005341313636
